2024_rank,player_name,team,cost_to_draft,hr_projection
1,AARON JUDGE,NYY,58,49
2,SHOHEI OHTANI,LAD,54,42
3,ANTHONY SANTANDER,TOR,44,34
4,JUAN SOTO,NYM,41,33
5,MARCELL OZUNA,ATL,39,31
6,JOSE RAMIREZ,CLE,39,29
7,BRENT ROOKER,OAK,39,36
8,KYLE SCHWARBER,PHI,38,36
9,GUNNER HENDERSON,BAL,37,31
10,KETEL MARTE,ARI,36,27
11,YORDAN ALVAREZ,HOU,35,37
12,PETE ALONSO,NYM,34,36
13,CAL RALEIGH,SEA,34,29
14,TEOSCAR HERNANDEZ,LAD,33,28
15,FRANCISCO LINDOR,NYM,33,29
16,WILLY ADAMES,MIL,32,26
17,BOBBY WITT JR,KC,32,30
18,TYLER ONEILL,BAL,31,24
19,JOSH NAYLOR,CLE,31,22
20,EUGENIO SUAREZ,ARI,30,24
21,BRYCE HARPER,PHI,30,27
22,COREY SEAGER,TEX,30,31
23,VLADIMIR GUERRERO JR.,TOR,30,32
24,MANNY MACHADO,SD,29,29
25,SHEA LANGELIERS,OAK,29,27
26,JAKE BURGER,MIA,29,29
27,MATT OLSON,ATL,29,33
28,RAFAEL DEVERS,BOS,28,31
29,MATT CHAPMAN,SF,27,27
30,GIANCARLO STANTON,NYY,27,17
31,MARK VIENTOS,NYM,27,27
32,SALVADOR PEREZ,KC,27,25
33,CHRISTIAN WALKER,HOU,26,28
34,EZEQUIEL TOVAR,COL,26,22
35,ALEX BERGMAN,BOS,26,23
36,RHYS HOSKINS,MIL,26,23
37,ADOLIS GARCIA,TEX,25,25
38,TAYLOR WARD,LAA,25,24
39,MICHAEL TOGLIA,COL,25,22
40,ELLY DE LA CRUZ,CIN,25,24
41,IAN HAPP,CHC,25,21
42,JACKSON MERRILL,SD,24,22
43,JURICKSON PROFAR,ATL,24,15
44,BRYAN REYNOLDS,PIT,24,21
45,JAZZ CHISHOLM JR,NYY,24,27
46,PAUL DEJONG,WAS,24,14
47,RILEY GREENE,DET,24,21
48,COLTON COWSER,BAL,24,20
49,MARCUS SEMIEN,TEX,23,21
50,NICHOLAS CASTELLANOS,PHI,23,20
51,BRANDON NIMMO,NYM,23,16
52,CARLOS SANTANA,CLE,23,16
53,WILLIAM CONTRERAS,MIL,23,23
54,ZACH NETO,LAA,23,18
55,KYLE TUCKER,CHC,23,29
56,BRENTON DOYLE,COL,23,21
57,JOC PEDERSON,TEX,23,21
58,PAUL GOLDSCHMIDT,NYY,22,22
59,LUKE RALEY,SEA,22,18
60,HELIOT RAMOS,SF,22,19
61,LAWRENCE BUTLER,OAK,22,24
62,FREDDIE FREEMAN,LAD,22,20
63,CORBIN CARROLL,ARI,22,21
64,BRANDON LOWE,TB,21,22
65,CHRISTOPHER MOREL,TB,21,23
66,ALEC BURLESON,STL,21,13
67,FERNANDO TATIS,SD,21,31
68,ONEIL CRUZ,PIT,21,25
69,BRYAN DE LA CRUZ,PIT,21,8
70,TREA TURNER,PHI,21,21
71,RYAN JEFFERS,MIN,21,17
72,JACKSON CHOURIO,MIL,21,21
73,MICHAEL BUSCH,CHC,21,18
74,SEIYA SUZUKI,CHC,21,20
75,JARREN DURAN,BOS,21,18
76,JORGE SOLER,LAA,21,27
77,JJ BLEDAY,OAK,20,22
78,ANDREW MCCUTCHEN,PIT,20,14
79,MICHAEL CONFORTO,LAD,20,18
80,JULIO RODRIGUEZ,SEA,20,27
81,RANDY AROZARENA,SEA,20,21
82,CJ ABRAMS,WAS,20,18
83,WILL SMITH,LAD,20,20
84,JO ADELL,LAA,20,20
85,ANDREW BENINTENDI,CHW,20,10
86,SPENCER STEER,CIN,20,16
87,JEIMER CANDELARIO,CIN,20,17
88,RYAN MCMAHON,COL,20,20
89,JOSE ALTUVE,HOU,20,19
90,LOGAN OHOPPE,LAA,20,21
91,GEORGE SPRINGER,TOR,19,18
92,NOLAN GORMAN,STL,19,18
93,MOOKIE BETTS,LAD,19,27
94,VINNIE PASQUANTINO,KC,19,20
95,TYLER STEPHENSON,CIN,19,14
96,ANDREW VAUGHN,CHW,19,22
97,ISAAC PAREDES,HOU,19,22
98,ADLEY RUTSCHMAN,BAL,19,18
99,AUSTIN RILEY,ATL,19,32
100,JOSH BELL,WAS,19,16
101,MIKE YASTRZEMSKI,SF,18,15
102,JOSE SIRI,NYM,18,16
103,DAULTON VARSHO,TOR,18,21
104,LUIS GARICA JR.,WAS,18,15
105,BYRON BUXTON,MIN,18,21
106,JESUS SANCHEZ,MIA,18,16
107,KERRY CARPENTER,DET,18,21
108,CODY BELLINGER,NYY,18,21
109,JORDAN WESTBURG,BAL,18,20
110,CEDRIC MULLINS,BAL,18,18
111,LOURDES GURRIEL JR,ARI,18,16
112,KYLE HIGASHIOKA,TEX,17,12
113,JAKE CRONENWORTH,SD,17,15
114,ZACK GELOF,OAK,17,19
115,MJ MELENDEZ,KC,17,16
116,ORLANDO ARCIA,ATL,17,13
117,WYATT LANGFORD,TEX,16,21
118,NATHANIEL LOWE,WAS,16,14
119,NOLAN ARENADO,STL,16,17
120,JORGE POLANCO,SEA,16,16
121,BRANDON MARSH,PHI,16,14
122,J.D. MARTINEZ,FA,16,12
123,ROYCE LEWIS,MIN,16,19
124,YAINER DIAZ,HOU,16,17
125,MATT VIERLING,DET,16,11
126,DANSBY SWANSON,CHC,16,20
127,MICHAEL HARRIS II,ATL,16,19
128,TREVOR LARNACH,MIN,15,16
129,GLEYBER TORRES,DET,15,17
130,ALEC BOHM,PHI,15,16
131,TYLER FITZGERALD,SF,15,16
132,MITCH GARVER,SEA,15,12
133,WILLSON CONTRERAS,STL,15,21
134,MASYN WINN,STL,15,13
135,MAX MUNCY,LAD,15,24
136,HUNTER RENFROE,KC,15,13
137,JEREMY PENA,HOU,15,14
138,TRAVIS DARNAUD,LAA,15,10
139,JARRED KELENIC,ATL,15,8
140,RYAN OHEARN,BAL,15,13
141,WILYER ABREU,BOS,15,15
142,CEDDANNE RAFAELA,BOS,15,10
143,JONATHAN INDIA,KC,15,14
144,LANE THOMAS,CLE,15,16
145,YANDY DIAZ,TB,14,17
146,BRENDAN DONOVAN,STL,14,11
147,J.T. REALMUTO,PHI,14,16
148,SETH BROWN,OAK,14,14
149,JESSE WINKER,NYM,14,10
150,CARLOS CORREA,MIN,14,18
151,MICKEY MONIAK,LAA,14,12
152,LUIS ROBERT JR,CHW,14,23
153,WILL BENSON,CIN,14,6
154,DAVID FRY,CLE,14,5
155,STEVEN KWAN,CLE,14,6
156,MICHAEL MASSEY,KC,14,14
157,ANDY PAGES,LAD,13,13
158,MATT WALLNER,MIN,13,21
159,ALEX VERDUGO,FA,13,8
160,AUSTIN WELLS,NYY,13,16
161,ROWDY TELLEZ,PIT,13,5
162,JOEY BART,PIT,13,12
163,JONAH HEIM,TEX,13,12
164,JOSH SMITH,TEX,13,10
165,DAVIS SCHNEIDER,TOR,13,8
166,KEIBERT RUIZ,WAS,13,13
167,NOLAN SCHANUEL,LAA,13,9
168,JON SINGLETON,HOU,13,5
169,JAKE MEYERS,HOU,13,12
170,RYAN MOUNTCASTLE,BAL,13,17
171,TRISTON CASAS,BOS,13,24
172,CONNOR WONG,BOS,13,11
173,TJ FRIEDI,CIN,13,14
174,TY FRANCE,MIN,13,10
175,BO NAYLOR,CLE,13,14
176,JHONKENSY NOEL,CLE,13,13
177,HUNTER GOODMAN,COL,13,13
178,BRENDAN RODGERS,COL,13,7
179,COLT KEITH,DET,13,13
180,ANTHONY VOLPE,NYY,12,14
181,MITCH HANIGER,SEA,12,10
182,LARS NOOTBAAR,STL,12,15
183,LEODY TAVERAS,TEX,12,9
184,SPENCER HORWITZ,TOR,12,8
185,ERNIE CLEMENT,TOR,12,7
186,HARRISON BADER,MIN,12,8
187,JEFF MCNEIL,NYM,12,7
188,RANDAL GRICHUK,ARI,12,10
189,KOREY LEE,CHW,12,5
191,ENRIQUE HERNANDEZ,LAD,12,8
192,JAKE BAUERS,FA,12,4
193,WILLI CASTRO,MIN,12,12
194,JUSTIN TURNER,CHC,11,7
195,HA-SEONG KIM,LAD,11,10
196,XANDER BOGAERTS,SD,11,16
197,BRYSON STOTT,PHI,11,12
198,FRANCISCO ALVAREZ,NYM,11,14
199,JOEY ORTIZ,MIL,11,11
200,GARY SANCHEZ,BAL,11,12
201,CHRISTIAN YELICH,MIL,11,15
202,JONAH BRIDE,MIA,11,9
203,ROB REFSNYDER,BOS,11,6
204,RAMON URIAS,BAL,11,8
205,RAMON LAUREANO,BAL,11,9
206,ADAM DUVALL,FA,11,9
207,JASON HEYWARD,SD,10,9
208,MIKE TROUT,LAA,10,27
209,GAVIN LUX,CIN,10,11
210,DYLAN MOORE,SEA,10,10
211,JOSH LOWE,TB,10,16
212,JOEY GALLO,CHW,10,8
213,JAKE ROGERS,DET,10,12
214,SPENCER TORKELSON,DET,10,13
215,SAM HILLIARD,COL,10,7
216,OZZIE ALBIES,ATL,10,20
217,SEAN MURPHY,ATL,10,12
218,EDDIE ROSARIO,LAD,10,3
219,MASATAKA YOSHIDA,BOS,10,8
220,PETE CROW-ARMSTRONG,CHC,10,14
221,GAVIN SHEETS,SD,10,4
222,TYLER SODERSTROM,OAK,9,20
223,JACK SUWINSKI,PIT,9,7
224,CONNER JOE,SD,9,6
225,YASMANI GRANDAL,FA,9,4
226,JARED TRIOLO,PIT,9,5
227,THAIRO ESTRADA,COL,9,11
228,J.P. CRAWFORD,SEA,9,12
229,JOSE CABALLERO,TB,9,7
230,CARSON KELLY,CHC,9,8
231,TRENT GRISHAM,NYY,9,10
232,JOSE MIRANDA,MIN,9,10
233,CONNOR NORBY,MIA,9,16
234,PAVIN SMITH,ARI,9,11
235,GIO URSHELA,OAK,9,7
236,DANNY JANSEN,TB,9,15
237,SANTIAGO ESPINAL,CIN,9,4
238,ANDRES GIMENEZ,TOR,9,11
239,JACOB STALLINGS,COL,9,7
240,WENCEEL PEREZ,DET,9,7
241,PARKER MEADOWS,DET,9,14
242,TOMMY PHAM,PIT,9,9
243,JAMES WOOD,WAS,9,16
